Park,Latitude,Longitude,Mortality Date,Species,Total Animals,Adult Female,Sex,Age_Class,Mortality Type,Original formatted date,Easting,Northing
Glacier National Park,51.32,-117.5,2007-06-21,Mountain Goat,1,1,Female,ADULT,Highway,21/06/2007,467113,5685960
Glacier National Park,51.33,-117.5,2007-07-11,Mountain Goat,1,0,Unknown,YLY,Highway,11/7/2007,467680,5686111
Glacier National Park,51.39,-117.5,2007-07-23,Black Bear,1,0,Unknown,YLY,Railway,23/07/2007,467820,5692800
Glacier National Park,51.41,-117.5,2007-07-26,Mountain Goat,1,1,Female,ADULT,Highway,26/07/2007,467139,5696009
Glacier National Park,51.39,-117.5,2007-10-05,Black Bear,1,0,Unknown,UNKNOWN,Railway,5/10/2007,467820,5692800
Glacier National Park,51.46,-117.5,2007-10-14,Black Bear,1,0,Unknown,UNKNOWN,Railway,14/10/2007,465835,5701608
Glacier National Park,51.32,-117.5,2007-11-23,Mountain Goat,1,0,Unknown,UNKNOWN,Highway,23/11/2007,466933,5685939
Glacier National Park,51.34,-117.4,2008-06-21,Black Bear,1,0,MALE,ADULT,Highway,21/06/2008,469193,5687214
Glacier National Park,51.26,-117.6,2008-06-30,Black Bear,1,0,Unknown,UNKNOWN,Highway,30/06/2008,461594,5679136
Glacier National Park,51.24,-117.7,2008-07-01,Black Bear,1,0,UNKNOWN,UNKNOWN,Highway,1/7/2008,454614,5676907
Glacier National Park,51.43,-117.5,2009-06-16,Black Bear,1,0,Unknown,UNKNOWN,Highway,16/06/2009,466861,5697851
Glacier National Park,51.46,-117.5,2010-04-16,Black Bear,1,1,Female,ADULT,Highway,16/04/2010,465835,5701608
Glacier National Park,51.39,-117.5,2010-06-23,Black Bear,1,1,Female,ADULT,Highway,23/06/2010,467820,5692800
Glacier National Park,51.32,-117.5,2010-07-11,Mountain Goat,1,1,Female,ADULT,Highway,11/7/2010,467232,5685944
Glacier National Park,51.39,-117.5,2010-11-05,Black Bear,1,1,Female,ADULT,Railway,5/11/2010,466905,5693858
Glacier National Park,51.23,-117.7,2011-05-21,Black Bear,1,0,Male,UNKNOWN,Railway,21/05/2011,453929,5675990
Glacier National Park,51.22,-117.7,2011-07-08,Black Bear,1,0,MALE,UNKNOWN,Highway,8/7/2011,451690,5674016
Glacier National Park,51.44,-117.5,2011-08-08,Black Bear,1,0,MALE,ADULT,Highway,8/8/2011,466810,5699026
Glacier National Park,51.34,-117.4,2011-08-14,Black Bear,1,0,Unknown,UNKNOWN,Highway,14/08/2011,469496,5687713
Glacier National Park,51.23,-117.7,2011-11-21,Black Bear,1,1,Female,ADULT,Railway,21/11/2011,453929,5675990
Glacier National Park,51.41,-117.5,2012-06-02,Black Bear,1,0,Unknown,UNKNOWN,Railway,2/6/2012,466363,5695307
Glacier National Park,51.26,-117.6,2012-06-26,Mountain Goat,1,0,Unknown,UNKNOWN,Highway,26/06/2012,460520,5679060
Glacier National Park,51.26,-117.6,2013-03-07,Mountain Goat,1,0,Unknown,UNKNOWN,Highway,7/3/2013,460526,5679171
Glacier National Park,51.26,-117.6,2013-06-07,Mountain Goat,1,0,FEMALE,UNKNOWN,Highway,7/6/2013,459931,5678874
Glacier National Park,51.26,-117.6,2013-06-12,Mountain Goat,2,0,UNKNOWN,UNKNOWN,Highway,12/6/2013,459453,5678719
Glacier National Park,51.32,-117.5,2013-10-16,Black Bear,1,0,MALE,UNKNOWN,Highway,16/10/2013,464580,5685003
Glacier National Park,51.41,-117.5,2014-05-02,Black Bear,3,0,FEMALE,UNKNOWN,Railway,2/5/2014,466136,5695435
Glacier National Park,51.49,-117.5,2014-05-27,Black Bear,1,0,MALE,UNKNOWN,Highway,27/05/2014,465779,5704248
Glacier National Park,51.21,-117.7,2014-06-04,Black Bear,1,0,MALE,UNKNOWN,Highway,4/6/2014,449958,5673388
Glacier National Park,51.32,-117.5,2014-06-13,Mountain Goat,1,0,FEMALE,UNKNOWN,Highway,13/06/2014,467213,5685931
Glacier National Park,51.32,-117.5,2014-07-02,Mountain Goat,1,0,Female,UNKNOWN,Highway,2/7/2014,467113,5685960
Glacier National Park,51.27,-117.5,2014-07-09,Mountain Goat,1,0,Unknown,UNKNOWN,Highway,9/7/2014,463949,5679720
Glacier National Park,51.32,-117.5,2014-07-13,Mountain Goat,2,0,FEMALE,UNKNOWN,Highway,13/07/2014,467113,5685960
